Année,Classement,Temps,Nom,Nationnalité,Sexe,Catégory,Index
2023,68,26:45:44,Yannik ZUFFEREY,Switzerland,Men,50-54,719
2023,69,26:49:27,Timo TOLLEFSON,United States,Men,35-39,852
2023,69,26:49:27,Augustin SEGARD,France,Men,20-34,713
2023,71,26:50:06,Patrick ARCE,France,Men,35-39,705
2023,72,26:58:53,Sabrina STANLEY,United States,Women,20-34,705
2023,73,26:59:55,Jack MURREL,United States,Men,20-34,717
2023,74,27:00:46,Simone TUCCI,Italy,Men,45-49,744
2023,75,27:02:56,Magnus RABE,Sweden,Men,40-44,763
2023,76,27:07:11,Tobias BRUNO,Sweden,Men,35-39,664
2023,77,27:07:50,Efrén MIRA-LLORENS,Spain,Men,40-44,764
2023,78,27:09:16,Jisu KIM,South Korea,Men,45-49,776
2023,79,27:09:23,Xiao LIN,China,Men,35-39,807
2023,80,27:12:55,Kamil DABROWSKI,Poland,Men,35-39,733
2023,81,27:19:04,Borja ARIAS,Spain,Men,45-49,710
2023,82,27:19:16,Yann GUILLERM,France,Men,45-49,736
2023,83,27:20:34,Florian OLIVIER,France,Men,40-44,736
2023,84,27:21:02,Arnaud GALLAY,France,Men,35-39,742
2023,85,27:22:56,Matthew URBANSKI,United States,Men,40-44,671
2023,86,27:24:36,Artūrs VADZIS,Latvia,Men,20-34,803
2023,87,27:25:31,Juste RAIMBAULT,France,Men,20-34,777
2023,88,27:27:19,Tom ENGLUND,Sweden,Men,45-49,656
2023,89,27:28:28,Louis Christophe MOISSONNIER,France,Men,50-54,655
2023,90,27:28:49,Nicolas BEAUMATIN,France,Men,20-34,683
2023,91,27:32:19,Anthony CHAUVIN,France,Men,40-44,666
2023,92,27:32:46,Jeremie MARCUCCILLI,France,Men,40-44,742
2023,93,27:36:59,Hugo HAYA CALDERON,Spain,Men,35-39,700
2023,94,27:37:21,Tony PAILLER,France,Men,40-44,718
2023,95,27:39:23,Lucy BARTHOLOMEW,Australia,Women,20-34,710
2023,96,27:40:25,Baptiste CARIMENTRAND,France,Men,45-49,713
2023,97,27:40:32,Sebastien ROBERT,France,Men,20-34,739
2023,98,27:44:55,Nicholas BAMFORD,United Kingdom,Men,35-39,786
2023,99,27:49:13,Sebastien BUFFARD,France,Men,40-44,750
2023,100,27:51:12,Jean-Gregoire LUISIER,Switzerland,Men,20-34,801
2023,101,27:58:07,Mathias THENAISIE,France,Men,20-34,717
2023,102,27:58:47,Omar EL SAWY,Egypt,Men,20-34,679
2023,103,28:01:54,David PEREZ,France,Men,40-44,710
2023,104,28:01:55,Florian BRUNEL,France,Men,40-44,704
2023,105,28:04:41,Moises VIDAL,Spain,Men,45-49,708
2023,106,28:05:39,Claire HESLOP,Canada,Women,40-44,641
2023,107,28:05:47,Michael NANASZKO,United States,Men,40-44,775
2023,108,28:08:48,Marc MASRAMON,Spain,Men,45-49,699
2023,109,28:09:28,Toni CONTESTI,Spain,Men,50-54,643
2023,110,28:10:06,Marc SOLE AMETLLER,Spain,Men,35-39,678
2023,111,28:18:02,Anthony LEE,United States,Men,20-34,829
2023,112,28:20:49,Kevin JAN,France,Men,20-34,709
2023,113,28:21:05,Martina KLANCNIK POTRČ,Slovenia,Women,20-34,724
2023,114,28:23:40,Julien AUSSEL,France,Men,20-34,664
2023,115,28:25:39,Leivo SEPP,Estonia,Men,50-54,634
2023,116,28:27:19,Massimiliano CALCINONI,Italy,Men,40-44,751
2023,117,28:29:27,Manuel MEDERLE,Italy,Men,20-34,733
2023,118,28:29:49,Michele CIABARRI,Italy,Men,40-44,665
2023,119,28:30:09,Gaël NINOT,France,Men,45-49,692
2023,120,28:34:53,Emily VAUDAN,Switzerland,Women,40-44,687
2023,121,28:40:03,Julien GONTHIER,France,Men,40-44,754
2023,122,28:46:41,Victor DEBIL-CAUX,France,Men,40-44,761
2023,123,28:47:11,Sebastian PLEINTINGER,Germany,Men,35-39,711
2023,124,28:50:03,Julien LAGNEAU,France,Men,40-44,739
2023,125,28:50:49,Pere MONTSERRAT LOPE,Spain,Men,35-39,757
2023,126,28:50:57,Raul GARCIA MENDOZA,Spain,Men,40-44,733
2023,127,28:51:45,Nicolas BOIVIN,France,Men,35-39,716
2023,128,28:52:26,Aline COQUARD,France,Women,35-39,669
2023,129,28:53:08,Kimino MIYAZAKI,Japan,Women,35-39,684
2023,130,28:54:50,Renan GOSSIAUX,Belgium,Men,35-39,701
2023,131,28:55:35,Aaron Adasat HERNANDEZ GRILLO,Spain,Men,40-44,676
2023,132,28:58:50,Filippo DALLA VALLE,Italy,Men,20-34,672
2023,133,29:01:43,Raul GOMEZ CALDERON,Spain,Men,35-39,693
2023,134,29:05:10,Kevin DIDIER,France,Men,20-34,741
2023,135,29:10:03,Jacopo FIASCHI,Italy,Men,40-44,682
2023,136,29:10:11,Adam STEIDLER,United States,Men,40-44,768
2023,137,29:10:50,Stefan PRACHT,Germany,Men,55-59,649
2023,138,29:12:40,Claire BANNWARTH,France,Women,20-34,706
2023,139,29:13:27,Michal LESNIAK,Poland,Men,35-39,770
2023,140,29:14:31,Man Yee CHEUNG,"Hong Kong, China",Women,20-34,678
2023,141,29:15:39,Christophe GRIFGNEE,Belgium,Men,35-39,771
2023,142,29:18:51,Yann COUTTY,France,Men,45-49,689
2023,143,29:19:54,Shane JOHNSTONE,Australia,Men,35-39,710
2023,144,29:24:06,Romain ADAM,France,Men,20-34,688
2023,145,29:25:37,Luke BARRETT,Australia,Men,35-39,767
2023,146,29:26:18,Henri LEHKONEN,Australia,Men,35-39,683
2023,147,29:26:54,Katie WRIGHT,United Kingdom,Women,35-39,667
2023,148,29:28:18,Benn COUBROUGH,Australia,Men,40-44,710
2023,149,29:29:55,Samuel ANTOINE,Switzerland,Men,35-39,706
2023,150,29:29:57,Matt DANIELS,United States,Men,35-39,895
2023,150,29:29:57,Amanda BASHAM,United States,Women,20-34,706
2023,152,29:30:39,Philippe ROBIN,France,Men,35-39,671
2023,153,29:31:36,Lucas HERNÁNDEZ SESMA,Spain,Men,40-44,757
2023,154,29:31:54,Giorgos IOANNOU,Greece,Men,35-39,643
2023,155,29:34:06,Romain LEBLANC,France,Men,35-39,696
2023,156,29:34:29,Felix KUSCHMIERZ,Germany,Men,20-34,712
2023,157,29:34:32,Rémi FERRIERES,France,Men,20-34,691
2023,158,29:36:00,Julien METTETAL,France,Men,50-54,622
2023,159,29:37:10,Moritz DAMMANN,Germany,Men,35-39,678
2023,160,29:37:59,Esteban SÁNCHEZ GARCÍA,Spain,Men,35-39,649
2023,161,29:38:23,Alexis CRELLIN,United States,Women,35-39,693
2023,162,29:39:39,Emmanuel GUILLOME,France,Men,40-44,683
2023,163,29:39:42,Olivier GUILLOME,France,Men,40-44,679
2023,164,29:39:49,Alexis BARON,France,Men,20-34,730
2023,165,29:39:57,Guillaume BOUR,France,Men,20-34,713
2023,166,29:46:01,Rong Rong CHEN,China,Women,35-39,671
2023,167,29:46:55,Jorge GARI,Spain,Men,35-39,605
2023,168,29:53:59,Cristian GUERRA-PEREZ,Spain,Men,40-44,716
2023,169,29:55:41,Dario TROVATELLI,Switzerland,Men,20-34,727
2023,170,29:57:04,Alexandre VERNA,Switzerland,Men,40-44,659
2023,171,29:57:27,Jordi PINYOL,Spain,Men,45-49,662
2023,172,29:58:57,Hanspeter LÜTHI,Switzerland,Men,55-59,670
2023,173,30:08:13,Julien ZIMMER,France,Men,20-34,721
