Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
36698,2022,Challenge du Montcalm 2022 - PicAriège,134,100K,70.0,7000.0,22.4465,0.0,30.1825,23,15,6
36698,2023,Challenge du Montcalm 2023 - PicAriège,226,100K,68.3,6880.0,21.694,0.0,33.9567,77,20,10
36700,2021,Challenge du Montcalm 2021 - Marathon du Montcalm ,365,50K,42.0,2750.0,7.8209,0.0,10.4911,63,45,8
36700,2022,Challenge du Montcalm 2022 - Marathon du Montcalm ,434,50K,42.0,2750.0,7.7669,0.0,11.1231,23,68,10
36700,2023,Challenge du Montcalm 2023 - Marathon du Montcalm ,537,50K,41.8,2800.0,7.7991,0.0,10.5964,53,87,9
36702,2021,Challenge du Montcalm 2021 - Trail des Novis,298,20K,25.0,1250.0,3.6321,0.0,5.6,7,75,7
36702,2022,Challenge du Montcalm 2022 - Trail des Novis,295,20K,25.0,1250.0,3.495,0.0,5.1058,3,74,8
36702,2023,Challenge du Montcalm 2023 - Trail des Novis,383,20K,25.0,1250.0,3.4244,0.0,5.3117,13,95,6
36704,2021,Challenge du Montcalm 2021 - Trail des Mineurs,131,20K,15.0,849.0,1.9254,0.0,2.8386,3,55,2
36704,2022,Challenge du Montcalm 2022 - Trail des Mineurs,222,20K,15.0,849.0,2.1423,1.2886,5.06,0,96,5
36704,2023,Challenge du Montcalm 2023 - Trail des Mineurs,291,20K,15.0,849.0,2.1965,0.0,3.4058,4,114,9
36716,2023,Dynafit Hardangervidda MARATHON 2023 - Dynafit Hardangervidda Marathon 2023 - 21K,287,20K,21.0,980.0,3.3258,0.0,7.0822,1,95,9
36718,2023,Dynafit Hardangervidda MARATHON 2023 - Dynafit Hardangervidda Marathon 2023 – 43K,166,50K,43.0,1630.0,6.4174,0.0,8.6625,13,46,11
36724,2023,Ultra-Trail® Chiangrai 2023 - 250km,13,100M,252.6,12538.0,69.167,62.9806,70.9933,0,1,2
36726,2023,Ultra-Trail® Chiangrai 2023 - 156km,26,100M,156.0,7822.0,44.2308,32.6667,49.5244,0,5,7
36728,2023,Ultra-Trail® Chiangrai 2023 - 111km,56,100M,111.2,5999.0,31.321,19.5325,35.3875,0,13,7
36730,2023,Ultra-Trail® Chiangrai 2023 - 55km,37,50K,55.5,2785.0,15.8563,12.3861,17.9428,0,14,8
36736,2022,Rokko 24 peaks hunt 2022 - 45k,76,50K,47.0,3880.0,9.6882,6.0925,11.7539,0,11,1
36736,2023,Rokko 24 peaks hunt 2023 - 45k,133,50K,47.0,3880.0,9.3599,5.8511,11.9083,0,21,4
36738,2022,Mammoth trail fest 2022 - 50 Km,8,50K,50.7,2150.0,4.8722,3.9811,5.7519,0,3,3
